2021/11/25	2:4:40	player	coordinates: 19,11	hp: 200 / 200	defense: 5	damage: 50
2021/11/25	2:4:40	zombie	coordinates: 2,9	is life: YES
2021/11/25	2:4:40	zombie	coordinates: 3,15	is life: YES
2021/11/25	2:4:40	zombie	coordinates: 7,3	is life: YES
2021/11/25	2:4:40	goblin	coordinates: 9,7	is life: YES
2021/11/25	2:4:40	goblin	coordinates: 13,5	is life: YES
2021/11/25	2:4:40	goblin	coordinates: 13,11	is life: YES
2021/11/25	2:4:40	orc	coordinates: 17,15	is life: YES
2021/11/25	2:4:40	orc	coordinates: 19,16	is life: YES
2021/11/25	2:4:44	player	coordinates: 19,10	hp: 200 / 200	defense: 5	damage: 50
2021/11/25	2:4:44	zombie	coordinates: 3,9	is life: YES
2021/11/25	2:4:44	zombie	coordinates: 4,15	is life: YES
2021/11/25	2:4:44	zombie	coordinates: 7,4	is life: YES
2021/11/25	2:4:44	goblin	coordinates: 9,6	is life: YES
2021/11/25	2:4:44	goblin	coordinates: 13,4	is life: YES
2021/11/25	2:4:44	goblin	coordinates: 14,11	is life: YES
2021/11/25	2:4:44	player	coordinates: 19,9	hp: 200 / 200	defense: 5	damage: 50
2021/11/25	2:4:44	zombie	coordinates: 7,3	is life: YES
2021/11/25	2:4:44	zombie	coordinates: 9,5	is life: YES
2021/11/25	2:4:44	goblin	coordinates: 13,3	is life: YES
2021/11/25	2:4:44	goblin	coordinates: 15,11	is life: YES
2021/11/25	2:4:44	orc	coordinates: 15,6	is life: YES
2021/11/25	2:4:44	orc	coordinates: 17,16	is life: YES
2021/11/25	2:4:45	player	coordinates: 19,8	hp: 200 / 200	defense: 5	damage: 50
2021/11/25	2:4:45	zombie	coordinates: 2,9	is life: YES
2021/11/25	2:4:45	zombie	coordinates: 3,15	is life: YES
2021/11/25	2:4:45	zombie	coordinates: 7,4	is life: YES
2021/11/25	2:4:45	goblin	coordinates: 13,2	is life: YES
2021/11/25	2:4:45	goblin	coordinates: 14,11	is life: YES
2021/11/25	2:4:45	orc	coordinates: 15,5	is life: YES
2021/11/25	2:4:45	player	coordinates: 19,7	hp: 200 / 200	defense: 5	damage: 50
2021/11/25	2:4:45	zombie	coordinates: 3,9	is life: YES
2021/11/25	2:4:45	zombie	coordinates: 3,16	is life: YES
2021/11/25	2:4:45	goblin	coordinates: 13,3	is life: YES
2021/11/25	2:4:45	goblin	coordinates: 15,11	is life: YES
2021/11/25	2:4:45	orc	coordinates: 15,6	is life: YES
2021/11/25	2:4:45	player	coordinates: 18,7	hp: 200 / 200	defense: 5	damage: 50
2021/11/25	2:4:45	zombie	coordinates: 3,10	is life: YES
2021/11/25	2:4:45	zombie	coordinates: 8,5	is life: YES
2021/11/25	2:4:45	goblin	coordinates: 9,7	is life: YES
2021/11/25	2:4:45	goblin	coordinates: 13,2	is life: YES
2021/11/25	2:4:45	goblin	coordinates: 15,10	is life: YES
2021/11/25	2:4:45	orc	coordinates: 19,15	is life: YES
